Series,Model,"Capacity (Ah, 20hr rate)",Weight (kg),"Price (GBP, ex VAT from allbatteries.co.uk)",Price euro
NP,NP1.2-12,1.2,0.58,11.15,13.38
NP,NP2.1-12,2.1,0.82,12.29,14.748
NP,NP2.3-12,2.3,0.95,13,15.6
NP,NP2.8-12,2.8,1.12,14.45,17.34
NP,NP3.2-12,3.2,1.2,15.18,18.216
NP,NP4-12,4,1.75,20.23,24.276
NP,NP7-12,7,2.2,17.99,21.588
REC,REC10-12,10,3.2,37.73,45.276
NP,NP12-12,12,4.05,40.49,48.588
REC,REC14-12,13,4.2,46.25,55.5
NP,NP17-12I,17,6.1,65.17,78.204
NP,NP18-12B,17.2,6.2,69.08,82.896
NP,NP24-12I,24,9,82.03,98.436
NPC,NPC24-12I,24,9,73.02,87.624
REC,REC36-12I,36,11.2,96.84,116.208
NP,NP38-12I,38,14.2,112.36,134.832
NPC,NPC38-12I,38,14.2,123.59,148.308
REC,REC50-12I,50,15.3,140.82,168.984
NP,NP65-12I,65,23,190.98,229.176
NPC,NPC65-12I,65,23,197.38,236.856
REC,REC80-12I,80,27,213.9,256.68
NPC,NPC100-12,100,38.8,249.02,298.824
